Segment,Floor Start,Floor End,Species,Form,Level,Moves,Rate
0,1,2,rattata,0,3,tackle,10
0,1,3,cleffa,0,3,pound,10
0,1,3,buneary,0,3,"pound, splash",10
0,2,3,pidgey,0,3,"gust, sand_attack",10
0,2,3,togepi,0,5,charm,10
0,2,4,slakoth,0,6,scratch,10
0,2,3,wurmple,0,5,"string_shot, tackle",10=
0,2,3,shinx,0,4,"leer, tackle",10
0,3,4,cherubi,0,6,"leech_seed, tackle",10
0,3,4,nincada,0,9,"bide, scratch, harden",10
0,3,4,budew,0,6,"absorb, stun_spore, water_sport",10
0,3,4,chingling,0,8,"astonish, wrap",10
0,4,5,eevee,0,8,"helping_hand, quick_attack",10
0,4,5,houndour,0,7,"ember, smog, roar",10
0,5,5,pichu,0,5,"thunder_shock, charm",10
0,4,5,treecko,0,10,"absorb, quick_attack",10
0,4,5,torchic,0,10,"growl, ember",10
0,4,5,mudkip,0,10,"mud_slap, water_gun",10
0,5,6,silcoon,0,8,"harden, bug_bite",10
0,5,6,cascoon,0,8,"harden, bug_bite",10
0,5,6,riolu,0,11,"counter, quick_attack",10
0,5,5,shellder,0,10,"aurora_beam, water_gun",10
0,6,7,exeggcute,0,10,"barrage, reflect",100
0,6,7,aipom,0,10,"astonish, tickle, scratch",10
0,6,7,paras,0,9,"poison_powder, leech_life",10
0,6,7,finneon,0,13,"water_gun, gust",10
0,6,7,poochyena,0,10,"howl, bite",100
0,7,8,shuppet,0,11,night_shade,10
0,7,8,swinub,0,13,mud_bomb,10
0,7,8,lickitung,0,14,"wrap, lick",10
0,7,8,kecleon,0,11,thief,10
0,7,8,pachirisu,0,13,"nuzzle, quick_attack",10
0,8,9,mankey,0,14,"leer, low_kick",10
0,8,9,meowth,0,14,"pay_day, scratch",10
0,8,9,gulpin,0,14,"sludge, yawn",10
0,8,9,clefairy,0,15,"bestow, pound",10
0,8,9,carnivine,0,16,"ingrain, sweet_scent, bite",10
0,8,9,scyther,0,11,"vacuum_wave, false_swipe",10
0,8,9,vulpix,0,18,ember,10
0,9,10,pinsir,0,15,"vice_grip, seismic_toss",10
0,9,10,drowzee,0,16,"hypnosis, disable, meditate",10
0,9,10,bonsly,0,15,"mimic, low_kick, rock_throw",10
0,9,10,chatot,0,18,"echoed_voice, feather_dance",10
0,9,10,mime_jr,0,18,"copycat, substitute",10
0,9,10,tyrogue,0,16,"tackle, fake_out",10
0,9,10,vigoroth,0,18,"yawn, slack_off, slash",10
0,10,11,trapinch,0,18,"sand_tomb, dig",10
